ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
CJ-042794;901;Smallmolecule;None;52;2;Human;45;Functional;6;8.8;8.8;8.8;Kd;ChEMBL;413;6;2;3;5.5;Clc1ccc(c(c1)C(=O)N[C@H](c1ccc(cc1)C(=O)O)C)Oc1ccc(cc1)F
CJ-042794;901;Smallmolecule;None;52;2;Human;45;Functional;6;7.4;7.7;7.9;IC50;ChEMBL;413;6;2;3;5.5;Clc1ccc(c(c1)C(=O)N[C@H](c1ccc(cc1)C(=O)O)C)Oc1ccc(cc1)F
CP734432;1122;Smallmolecule;None;-;1;Human;0;Functional;2;8.7;8.7;8.7;pIC50;GuidetoPharmacology;468;10;1;5;3.4;O[C@@H](Cc1cccc(c1)C(F)(F)F)CC[C@H]1CCC(=O)N1CCCc1ccc(s1)C(=O)[O-]
CP734432;1122;Smallmolecule;None;-;1;Human;0;Functional;2;9.0;9.0;9.0;pEC50;GuidetoPharmacology;468;10;1;5;3.4;O[C@@H](Cc1cccc(c1)C(F)(F)F)CC[C@H]1CCC(=O)N1CCCc1ccc(s1)C(=O)[O-]
ER819762;1480;Smallmolecule;None;-;1;Human;0;Functional;2;7.2;7.2;7.2;pIC50;GuidetoPharmacology;489;5;0;4;5.6;CCN1C(=O)N2C(=C[C@@H](c3c(C2)cc(OC)cc3OC)C)C21CCN(CC2)Cc1cc(C)cc(c1)C
grapiprant;1746;Smallmolecule;None;-;1;Human;45;Functional;13;8.3;8.3;8.3;Kd;ChEMBL;491;7;2;6;4.1;CCc1nc2c(n1c1ccc(cc1)CCNC(=O)NS(=O)(=O)c1ccc(cc1)C)cc(nc2C)C
grapiprant;1746;Smallmolecule;None;-;1;Human;45;Functional;13;7.9;7.9;7.9;IC50;ChEMBL;491;7;2;6;4.1;CCc1nc2c(n1c1ccc(cc1)CCNC(=O)NS(=O)(=O)c1ccc(cc1)C)cc(nc2C)C
iloprost;1886;Smallmolecule;None;-630;2;Human;0;Functional;2;6.4;6.4;6.4;pEC50;GuidetoPharmacology;360;8;3;3;3.5;CC#CCC([C@@H](/C=C/C1[C@H](O)C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/C2)O)C
L902688;2139;Smallmolecule;None;-;1;Human;0;Functional;2;8.1;9.2;10.3;pEC50;GuidetoPharmacology;419;11;2;5;3.0;O=C1CC[C@@H](N1CCCCCCc1nnn[nH]1)/C=C/[C@H](C(c1ccccc1)(F)F)O
MB-28767;2329;Smallmolecule;3H-PGE2;-32;2;Human;0;Functional;4;7.8;7.8;7.8;pEC50;GuidetoPharmacology;374;12;2;4;4.0;OC(=O)CCCCCC[C@@H]1[C@@H](/C=C/[C@H](COc2ccccc2)O)CCC1=O
MK-2894;2412;Smallmolecule;None;-;1;Human;33;Functional;7;8.0;8.4;8.6;IC50;ChEMBL;473;6;2;3;6.1;OC(=O)c1ccc(cc1)C1(CC1)NC(=O)c1c(C)sc(c1Cc1ccc(cc1)C(F)(F)F)C
ONO-AE1-329;2780;Smallmolecule;None;-;1;Human;0;Functional;1;7.7;7.7;7.8;pEC50;GuidetoPharmacology;468;14;3;7;2.9;COCc1ccccc1CC[C@@H](/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1SCCCSCC(=O)O)O
PGD2;2906;Smallmolecule;3H-PGE2;3;3;Human;0;Functional;4;8.8;8.8;8.8;pEC50;GuidetoPharmacology;352;12;3;4;3.3;CCCCC[C@@H](/C=C/[C@H]1C(=O)C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O
PGE1;2908;Smallmolecule;None;1;9;Human;79;Functional;3;9.5;9.5;9.5;pEC50;GuidetoPharmacology;354;13;3;4;3.5;CCCCC[C@@H](/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O)O
PGE1;2908;Smallmolecule;None;1;9;Human;79;Functional;3;8.1;8.1;8.1;pEC50;DrugCentral;354;13;3;4;3.5;CCCCC[C@@H](/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O)O
PGE2;2909;Smallmolecule;None;-1;10;Human;68;Functional;26;6.1;6.0;6.1;pEC50;GuidetoPharmacology;352;12;3;4;3.3;CCCCC[C@@H](/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O
PGE2;2909;Smallmolecule;None;-1;10;Human;68;Functional;26;8.1;9.0;10.7;EC50;ChEMBL;352;12;3;4;3.3;CCCCC[C@@H](/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O
PGF2α;2910;Smallmolecule;None;-45;9;Human;40;Functional;7;6.1;6.0;6.1;pEC50;GuidetoPharmacology;354;12;4;4;3.0;CCCCC[C@@H](/C=C/[C@H]1[C@H](O)C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O
TCS2510;3554;Smallmolecule;None;-;1;Human;19;Functional;4;8.6;8.6;8.6;EC50;ChEMBL;383;11;2;5;2.5;O[C@@H](Cc1ccccc1)/C=C/[C@H]1CCC(=O)N1CCCCCCc1nnn[nH]1
TG11-77;3578;Smallmolecule;None;-537;3;Human;0;Functional;1;5.3;5.3;5.3;pKB;GuidetoPharmacology;400;6;3;5;4.0;Cc1cc(Nc2ncc(cn2)C(=O)NCCc2c(C)[nH]c3c2cccc3)nc(c1)C
TG6-129;3580;Smallmolecule;None;-33;5;Human;20;Functional;1;5.4;5.4;5.4;pKB;GuidetoPharmacology;491;7;3;7;3.6;CCc1nnc(s1)NS(=O)(=O)c1ccc(cc1)NC(=S)NC(=O)/C=C/c1ccc(cc1)F
treprostinil;3633;Smallmolecule;None;-8;2;Human;0;Functional;3;6.7;6.7;6.7;pEC50;GuidetoPharmacology;390;10;3;4;3.6;CCCCC[C@@H](CC[C@H]1[C@H](O)C[C@H]2[C@@H]1Cc1cccc(c1C2)OCC(=O)O)O
treprostinil;3633;Smallmolecule;None;-8;2;Human;0;Functional;3;8.2;8.2;8.2;pEC50;DrugCentral;390;10;3;4;3.6;CCCCC[C@@H](CC[C@H]1[C@H](O)C[C@H]2[C@@H]1Cc1cccc(c1C2)OCC(=O)O)O
CHEMBL222715;84073;Smallmolecule;None;6;4;Human;0;Functional;4;8.0;9.3;10.7;EC50;ChEMBL;359;10;2;3;3.4;CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL1644016;56403;Smallmolecule;None;-;1;Human;0;Functional;4;8.6;8.6;8.6;IC50;ChEMBL;500;8;1;4;5.8;COc1ccccc1CC(=O)NCCc1ccc(-c2c(C(=O)N(C)C)sc3c(C)cc(C)cc23)cc1
CHEMBL3751951;136486;Smallmolecule;None;-186;3;Human;0;Functional;2;6.5;6.5;6.5;EC50;ChEMBL;458;12;2;7;4.0;O=C(O)c1csc(SCCN2C(=O)OC[C@@H]2/C=C/[C@@H](O)C2(CCCCF)CCC2)n1
