ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
AH23848;306;Smallmolecule;None;12;3;Human;0;Binding;1;6.2;6.2;6.2;pKi;GuidetoPharmacology;477;11;1;5;4.7;OC(=O)CC/C=C\CC[C@H]1[C@@H](OCc2ccc(cc2)c2ccccc2)CC(=O)[C@@H]1N1CCOCC1
butaprost(freeacidform);710;Smallmolecule;None;-316;9;Human;12;Binding;1;4.7;4.7;4.7;pKi;GuidetoPharmacology;394;13;3;4;4.3;CCCC1(CCC1)[C@H](C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O)O
carbacyclin;756;Smallmolecule;None;-1412;13;Human;0;Binding;1;4.7;4.7;4.7;pKi;GuidetoPharmacology;350;10;3;3;4.1;CCCCC[C@@H](/C=C/[C@H]1[C@H](O)C[C@H]2[C@@H]1C/C(=C\CCCC(=O)O)/C2)O
carbocyclicthromboxaneA2;759;Smallmolecule;None;-;1;Human;0;Binding;1;6.5;6.5;6.5;pKi;GuidetoPharmacology;348;12;2;2;5.3;CCCCC[C@@H](/C=C/[C@H]1CC2CC([C@@H]1C/C=C\CCCC(=O)O)C2)O
cloprostenol;910;Smallmolecule;None;-1621;5;Human;30;Binding;2;5.2;5.2;5.2;pKi;GuidetoPharmacology;424;11;4;5;3.2;OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@H]([C@@H]1/C=C/[C@H](COc1cccc(c1)Cl)O)O
daltroban;1238;Smallmolecule;None;-;1;Human;43;Binding;4;7.7;7.7;7.7;pKi;GuidetoPharmacology;353;7;2;3;2.5;OC(=O)Cc1ccc(cc1)CCNS(=O)(=O)c1ccc(cc1)Cl
daltroban;1238;Smallmolecule;None;-;1;Human;43;Binding;4;7.2;7.2;7.2;Ki;ChEMBL;353;7;2;3;2.5;OC(=O)Cc1ccc(cc1)CCNS(=O)(=O)c1ccc(cc1)Cl
daltroban;1238;Smallmolecule;None;-;1;Human;43;Binding;4;6.8;6.8;6.8;IC50;ChEMBL;353;7;2;3;2.5;OC(=O)Cc1ccc(cc1)CCNS(=O)(=O)c1ccc(cc1)Cl
domitroban;1372;Smallmolecule;None;1;2;Human;0;Binding;3;9.6;9.6;9.6;pKi;GuidetoPharmacology;377;9;2;3;3.6;OC(=O)CCC/C=C\C[C@H]1[C@@H]2CC[C@H]([C@@H]1NS(=O)(=O)c1ccccc1)C2
domitroban;1372;Smallmolecule;None;1;2;Human;0;Binding;3;8.9;8.9;8.9;pKd;GuidetoPharmacology;377;9;2;3;3.6;OC(=O)CCC/C=C\C[C@H]1[C@@H]2CC[C@H]([C@@H]1NS(=O)(=O)c1ccccc1)C2
